"生产日期
Production Date","内部机型
Internal Model","类型
Type","总部
HQ","主板板型
Mainboard model",MODELO+PCB,"组件号
MB part number","总BOM数量
Material QTY","手插件数
Hi material QTY","手插率
Hand insertion rate","芯片方案
Chip Solution",内置TCON,"液晶屏物料号
LCD Part No.","液晶屏型号描述
LCD Description","液晶面板
SKD panel","屏幕厂家
LCD Brand","屏接口类型
LCD interface type",TOOL,TOOL SW,"转接板
Converter",TCON,FFC,"通用远程拾音板
MIC Board","远程拾音线
MIC cable","多合一端子板（非远程拾音）
all-in-one board（non MIC）","多合一端子板连接线
all-in-one board cable",备注/Remarks,配套远程拾音板,WiFi模块,WiFi模块描述,,,
2021/7/1,50A53FUR,3 IN 1,HuangDao,10939,50A53FUR10939,286272,657,27,4.11%,MT9010PAATCC,是,286887,液晶屏\HD500Y1U91-T0L2\S1\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),SKD,,/,/,60pin(267913),,,,,,,,,,,
2021/7/21,65C350U,REFLOW,HuangDao,TD.MT9020.703 B21015,65C350UTD.MT9020.703 B21015,CVTE,/,/,/,MT9020IAATWA,否,289300,液晶屏\HD650Y1U72-TBL2K2\S0\GM\ROH,液晶屏面板\HV650QUB-F70\GM\ROH,京东方(BOE),51pin(VB1),4K VB1,,/,/,51pin(FB0301004900),,,,,,,,,,,
2021/9/30,50A53FUR(0006),3 IN 1,HuangDao,10939,50A53FUR(0006)10939,298398,658,27,4.10%,MT9010PAATCC,否,286887,液晶屏\HD500Y1U91-T0L2\S1\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),SKD,,/,/,60pin(267913),,,,,,,,,,,
2022/3/3,75A53FUA(0010),REFLOW,HuangDao,11493,75A53FUA(0010)11493,307058,/,/,/,MT9612IAATQA,是,307846,液晶屏\HD750Y1U72-T0L2\S0\GM\ROH,液晶屏面板\HV750QUB-F91\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,9894,11383,68pin(1250761),,,,,,,,,,,
2022/3/3,65A53FUA(0010),REFLOW,HuangDao,11493,65A53FUA(0010)11493,306727,/,/,/,MT9612IAATQA,是,296252,液晶屏\HD650Y1U51-T0L2\S0\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,9888,11133,68pin(1250761),,,,,,,,,,,
2022/3/3,43A53FUR(0011),3 IN 1,HuangDao,12376,43A53FUR(0011)12376,315181,/,/,/,,,,液晶屏\HD425Y1U52-T0L2,液晶屏面板\T430QVN03.M,友达(AUO),,,,9888,11133,68pin(1250761),,,,,,,,,,,
2022/3/3,50A53FUA(0011),3 IN 1,HuangDao,12366,50A53FUA(0011)12366,315240,642,31,4.83%,MT9612IAATQA,是,285776,液晶屏\HD500Y1U91-T0L2,液晶屏面板\CV500U2-L01-V02,彩虹光电(CHOT),1*60pin(PTP),SKD,,/,/,60pin(267913),,,,,"50A53FUA (0011) in 50A53FUA (0010) triple-play board power supply part of the material change, local use of new mainboard layout, replace the amplifier chip. Structure, panel generic prototype no change.",,,,,,
2022/3/3,55A53FUA(0011),3 IN 1,HuangDao,12366,55A53FUA(0011)12366,315236,642,30,4.67%,MT9612IAATQA,是,307940,液晶屏\HD550Y1U51-T0L2,液晶屏面板\T550QVN10.0,友达(AUO),1*68pin(PTP),4K VB1,,9888,11133,68pin(1250761),,,,,,,,,,,
2022/3/10,50A62GUA,REFLOW,HuangDao,11493,50A62GUA11493,297487,/,/,/,MT9612IAATNC,是,297783,液晶屏\HD500Y3U61-T0L8\S0\ROH,液晶屏面板\PT500GT02-7\ROH,惠科(HKC),1*68pin(PTP),SKD,/,/,11389,68pin(1250761),,,,,,,,,,,
2022/3/10,65A53FUA(0011),REFLOW,HuangDao,11493,65A53FUA(0011)11493,315282,/,/,/,MSD6886NQGT-8-00GF,是,288073,液晶屏\HD650Y1U72-T0L2,液晶屏面板\HV650QUB-F70,京东方(BOE),1*68pin(PTP),SKD,/,/,10545,68pin(1250761),,,,,,,,,,,
2022/3/10,43A53FUA(0011),3 IN 1,HuangDao,12366,43A53FUA(0011)12366,315286,610,30,4.92%,MT9602EAATAC,是,310744,液晶屏\HD425Y1U52-T0L2,液晶屏面板\T430QVN03.M,友达(AUO),1*68pin(PTP),4K VB1,,9888,11133,68pin(1250761),,,,,,,,,,,
2022/3/17,43A35EUA,3 IN 1,JiangMen,TP.MT9216T.PB703 B21035,43A35EUATP.MT9216T.PB703 B21035,CVTE,/,/,/,MT9216AAATYB,是,268419,液晶屏\JHD425X1F71-T0L1\S0\FM\ROH\广,液晶屏面板\HV430FHB-F90\FM\ROH,京东方(BOE),2*68pin(Mini LVDS),SKD,,/,/,68pin(FB0301014574),,,,,,,,,,,
2022/3/17,40A35EUA,3 IN 1,JiangMen,TP.MT9216T.PB703 B21035,40A35EUATP.MT9216T.PB703 B21035,CVTE,/,/,/,,是,\,\,\,/,51pin(LVDS),2K LVDS,,/,/,51pin(FB0301004900),,,,,,,,,,,
2022/3/17,75C350U(0002),REFLOW,HuangDao,TD.MT9020.703 B21015/Fire TV,75C350U(0002)TD.MT9020.703 B21015/Fire TV,CVTE,/,/,/,MT9020IAATWA,是 ,309512,液晶屏\HD750Y1U72-TBL2K2\S0\GM\ROH,液晶屏面板\HV750QUB-F91\GM\ROH,京东方(BOE),51pin(VB1),4K VB1,,/,/,51pin(FB0301004900),,,,,,,,,,,
2022/3/31,55A66GUA,REFLOW,HuangDao,11493,55A66GUA11493,306002,/,/,/,MT9612IAATNC,是,306899,液晶屏\HD550Y3U51-T0LA,液晶面板\T550QVN10.0,友达(AUO),1*68pin(PTP),4K VB1,/,9888,11133,68pin(1250761),"304399
远程拾音板组件\RSAG2.908.11789","1258779
条形连接线\GH-14Y-GHX-11Y-770-2XP",,,Add MIC function/增加远场语音功能,,,,,,
2022/3/31,50A53FUR(0002),3 IN 1,HuangDao,10939,50A53FUR(0002)10939,286272,655,28,4.27%,MT9010PAATDA,是,286887,液晶屏\HD500Y1U91-T0L2\S1\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),SKD,,/,/,60pin(267913),,,,,,,,,,,
